year,month,file_date,case_number,case_title,file_contains,case_info_url,pdf_url,pdf_filename,download_status,scraped_at
2025,January,"Jan. 16, 2025","102,586-6",Pub. Util. Dist. No. 1 of Snohomish County v. State,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1025866MAJ,https://www.courts.wa.gov/opinions/pdf/1025866.pdf,"102,586-6_Pub. Util. Dist. No. 1 of Snohomish County v. Stat.pdf",Success,2025-12-05T11:05:07.856494
2025,January,"Jan. 16, 2025","102,658-7",State v. J.M.H.,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1026587MAJ,https://www.courts.wa.gov/opinions/pdf/1026587.pdf,"102,658-7_State v. J.M.H..pdf",Success,2025-12-05T11:05:15.641867
2025,January,"Jan. 23, 2025","102,566-1",David v. Freedom Vans LLC,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1025661MAJ,https://www.courts.wa.gov/opinions/pdf/1025661.pdf,"102,566-1_David v. Freedom Vans LLC.pdf",Success,2025-12-05T11:05:27.233589
2025,January,"Jan. 23, 2025","102,643-9",State v. Morgan,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1026439MAJ,https://www.courts.wa.gov/opinions/pdf/1026439.pdf,"102,643-9_State v. Morgan.pdf",Success,2025-12-05T11:05:33.427187
2025,January,"Jan. 30, 2025","102,791-5",Thurman v. Cowles Co.,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1027915MAJ,https://www.courts.wa.gov/opinions/pdf/1027915.pdf,"102,791-5_Thurman v. Cowles Co..pdf",Success,2025-12-05T11:05:38.808767
2025,February,"Feb. 06, 2025","102,795-8","Atkerson v. Dep’t of Child., Youth, & Fams.","Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1027958MAJ,https://www.courts.wa.gov/opinions/pdf/1027958.pdf,"102,795-8_Atkerson v. Dep’t of Child., Youth, & Fams..pdf",Success,2025-12-05T11:05:44.425096
2025,February,"Feb. 13, 2025","102,182-8","John Does 1, 2, 4, & 5 v. Seattle Police Dep't","Maj., and Con/Dis Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1021828MAJ,https://www.courts.wa.gov/opinions/pdf/1021828.opn.pdf,"102,182-8_John Does 1, 2, 4, & 5 v. Seattle Police Dep't.pdf",Success,2025-12-05T11:05:51.184058
2025,February,"Feb. 20, 2025","102,905-5",Hous. Auth. v. Knight,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1029055MAJ,https://www.courts.wa.gov/opinions/pdf/1029055.pdf,"102,905-5_Hous. Auth. v. Knight.pdf",Success,2025-12-05T11:05:59.313584
2025,March,"Mar. 06, 2025","102,622-6",State v. Mercedes,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1026226MAJ,https://www.courts.wa.gov/opinions/pdf/1026226.pdf,"102,622-6_State v. Mercedes.pdf",Success,2025-12-05T11:06:05.641745
2025,March,"Mar. 06, 2025","102,569-6",Vet Voice Found. v. Hobbs,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1025696MAJ,https://www.courts.wa.gov/opinions/pdf/1025696.pdf,"102,569-6_Vet Voice Found. v. Hobbs.pdf",Success,2025-12-05T11:06:11.723231
2025,March,"Mar. 13, 2025","102,410-0","Galassi v. Lowe's Home Centers, LLC",Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1024100MAJ,https://www.courts.wa.gov/opinions/pdf/1024100.pdf,"102,410-0_Galassi v. Lowe's Home Centers, LLC.pdf",Success,2025-12-05T11:06:18.160387
2025,March,"Mar. 20, 2025","102,829-6","Hall v. Walgreens Boots All., Inc.","Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1028296MAJ,https://www.courts.wa.gov/opinions/pdf/1028296.pdf,"102,829-6_Hall v. Walgreens Boots All., Inc..pdf",Success,2025-12-05T11:06:24.509149
2025,March,"Mar. 27, 2025","103,541-1",In Re Dependency of C.J.J.I.,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1035411MAJ,https://www.courts.wa.gov/opinions/pdf/1035411.pdf,"103,541-1_In Re Dependency of C.J.J.I..pdf",Success,2025-12-05T11:06:30.156045
2025,March,"Mar. 27, 2025","103,444-0",In re Recall of Ruelas,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1034440MAJ,https://www.courts.wa.gov/opinions/pdf/1034440.pdf,"103,444-0_In re Recall of Ruelas.pdf",Success,2025-12-05T11:06:37.377570
2025,March,"Mar. 27, 2025","103,314-1",In re Recall of Suggs,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1033141MAJ,https://www.courts.wa.gov/opinions/pdf/1033141.pdf,"103,314-1_In re Recall of Suggs.pdf",Success,2025-12-05T11:06:43.508114
2025,March,"Mar. 27, 2025","102,538-6","Raab v. Nu Skin Enters., Inc.",Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1025386MAJ,https://www.courts.wa.gov/opinions/pdf/1025386.pdf,"102,538-6_Raab v. Nu Skin Enters., Inc..pdf",Success,2025-12-05T11:06:57.735316
2025,March,"Mar. 27, 2025","102,942-0",State v. Nelson,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1029420MAJ,https://www.courts.wa.gov/opinions/pdf/1029420.pdf,"102,942-0_State v. Nelson.pdf",Success,2025-12-05T11:07:04.970140
2025,April,"Apr. 03, 2025","202,188-3",In re Disciplinary Proceeding Against Wallstrom,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=2021883MAJ,https://www.courts.wa.gov/opinions/pdf/2021883.pdf,"202,188-3_In re Disciplinary Proceeding Against Wallstrom.pdf",Success,2025-12-05T11:07:11.284095
2025,April,"Apr. 10, 2025","102,635-8",State v. J.H.-M.,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1026358MAJ,https://www.courts.wa.gov/opinions/pdf/1026358.pdf,"102,635-8_State v. J.H.-M..pdf",Success,2025-12-05T11:07:17.773831
2025,April,"Apr. 17, 2025","102,592-1","Brown v. Old Navy, LLC","Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1025921MAJ,https://www.courts.wa.gov/opinions/pdf/1025921.pdf,"102,592-1_Brown v. Old Navy, LLC.pdf",Success,2025-12-05T11:07:24.787927
2025,April,"Apr. 17, 2025","102,814-8",Jewels Helping Hands v. Hansen,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1028148MAJ,https://www.courts.wa.gov/opinions/pdf/1028148.pdf,"102,814-8_Jewels Helping Hands v. Hansen.pdf",Success,2025-12-05T11:07:35.021171
2025,April,"Apr. 17, 2025","102,787-7",State v. Zghair,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1027877MAJ,https://www.courts.wa.gov/opinions/pdf/1027877.pdf,"102,787-7_State v. Zghair.pdf",Success,2025-12-05T11:07:43.794005
2025,May,"May. 08, 2025","102,899-7",M.R. v. State,"Maj., Con., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1028997MAJ,https://www.courts.wa.gov/opinions/pdf/1028997.pdf,"102,899-7_M.R. v. State.pdf",Success,2025-12-05T11:07:52.759314
2025,May,"May. 08, 2025","102,940-3","State v. Gator's Custom Guns, Inc.","Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1029403MAJ,https://www.courts.wa.gov/opinions/pdf/1029403.pdf,"102,940-3_State v. Gator's Custom Guns, Inc..pdf",Success,2025-12-05T11:07:59.162413
2025,May,"May. 15, 2025","102,680-3",City of Wenatchee v. Stearns,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1026803MAJ,https://www.courts.wa.gov/opinions/pdf/1026803.pdf,"102,680-3_City of Wenatchee v. Stearns.pdf",Success,2025-12-05T11:08:04.694409
2025,May,"May. 22, 2025","103,332-0",Sangha v. Keen,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1033320MAJ,https://www.courts.wa.gov/opinions/pdf/1033320.pdf,"103,332-0_Sangha v. Keen.pdf",Success,2025-12-05T11:08:11.232334
2025,May,"May. 29, 2025","102,881-4","Cockrum v. C.H. Murphy/Clark-Ullman, Inc.","Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1028814MAJ,https://www.courts.wa.gov/opinions/pdf/1028814.pdf,"102,881-4_Cockrum v. C.H. Murphy_Clark-Ullman, Inc..pdf",Success,2025-12-05T11:08:17.618438
2025,May,"May. 29, 2025","102,922-5","Dep't of Lab. & Indus. v. Cannabis Green, LLC","Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1029225MAJ,https://www.courts.wa.gov/opinions/pdf/1029225.pdf,"102,922-5_Dep't of Lab. & Indus. v. Cannabis Green, LLC.pdf",Success,2025-12-05T11:08:23.656503
2025,May,"May. 29, 2025","102,405-3",State v. Hall-Haught,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1024053MAJ,https://www.courts.wa.gov/opinions/pdf/1024053.pdf,"102,405-3_State v. Hall-Haught.pdf",Success,2025-12-05T11:08:31.595404
2025,June,"Jun. 12, 2025","102,976-4",John Doe P v. Thurston County,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1029764MAJ,https://www.courts.wa.gov/opinions/pdf/1029764.pdf,"102,976-4_John Doe P v. Thurston County.pdf",Success,2025-12-05T11:08:41.953773
2025,June,"Jun. 26, 2025","103,121-1",Bearden v. City of Ocean Shores,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1031211MAJ,https://www.courts.wa.gov/opinions/pdf/1031211.pdf,"103,121-1_Bearden v. City of Ocean Shores.pdf",Success,2025-12-05T11:08:49.840216
2025,June,"Jun. 26, 2025","103,370-2",Citizen Action Def. Fund v. Off. of Fin. Mgmt.,"Maj., Con., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1033702MAJ,https://www.courts.wa.gov/opinions/pdf/1033702.pdf,"103,370-2_Citizen Action Def. Fund v. Off. of Fin. Mgmt..pdf",Success,2025-12-05T11:08:56.824737
2025,July,"Jul. 10, 2025","103,077-1",State v. Bell,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1030771MAJ,https://www.courts.wa.gov/opinions/pdf/1030771.pdf,"103,077-1_State v. Bell.pdf",Success,2025-12-05T11:09:04.475336
2025,July,"Jul. 17, 2025","102,910-1",State v. Lewis,"Maj., Con., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1029101MAJ,https://www.courts.wa.gov/opinions/pdf/1029101.pdf,"102,910-1_State v. Lewis.pdf",Success,2025-12-05T11:09:10.561121
2025,July,"Jul. 31, 2025","103,542-0",In re Recall of Ruelas,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1035420MAJ,https://www.courts.wa.gov/opinions/pdf/1035420.pdf,"103,542-0_In re Recall of Ruelas.pdf",Success,2025-12-05T11:09:15.595715
2025,July,"Jul. 31, 2025","103,582-9",State v. Balles,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1035829MAJ,https://www.courts.wa.gov/opinions/pdf/1035829.pdf,"103,582-9_State v. Balles.pdf",Success,2025-12-05T11:09:22.018128
2025,July,"Jul. 31, 2025","103,136-0",State v. Evans,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1031360MAJ,https://www.courts.wa.gov/opinions/pdf/1031360.pdf,"103,136-0_State v. Evans.pdf",Success,2025-12-05T11:09:27.313334
2025,July,"Jul. 31, 2025","103,546-2",State v. Roberts,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1035462MAJ,https://www.courts.wa.gov/opinions/pdf/1035462.pdf,"103,546-2_State v. Roberts.pdf",Success,2025-12-05T11:09:33.758380
2025,August,"Aug. 14, 2025","103,068-1",Arends v. State,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1030681MAJ,https://www.courts.wa.gov/opinions/pdf/1030681.pdf,"103,068-1_Arends v. State.pdf",Success,2025-12-05T11:09:41.545577
2025,August,"Aug. 14, 2025","103,006-1",State v. A.M.W.,"Maj., Con., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1030061MAJ,https://www.courts.wa.gov/opinions/pdf/1030061.pdf,"103,006-1_State v. A.M.W..pdf",Success,2025-12-05T11:09:56.600662
2025,August,"Aug. 28, 2025","103,768-6",In re Dependency of C.J.J.I.,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1037686MAJ,https://www.courts.wa.gov/opinions/pdf/1037686.pdf,"103,768-6_In re Dependency of C.J.J.I..pdf",Success,2025-12-05T11:10:02.923016
2025,August,"Aug. 28, 2025","103,338-9",State v. Thompson,"Maj., Con., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1033389MAJ,https://www.courts.wa.gov/opinions/pdf/1033389.pdf,"103,338-9_State v. Thompson.pdf",Success,2025-12-05T11:10:10.944614
2025,September,"Sep. 04, 2025","103,394-0","Branson v. Wash. Fine Wine & Spirits, LLC","Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1033940MAJ,https://www.courts.wa.gov/opinions/pdf/1033940.pdf,"103,394-0_Branson v. Wash. Fine Wine & Spirits, LLC.pdf",Success,2025-12-05T11:10:17.055889
2025,September,"Sep. 11, 2025","103,509-8",State v. Ray,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1035098MAJ,https://www.courts.wa.gov/opinions/pdf/1035098.pdf,"103,509-8_State v. Ray.pdf",Success,2025-12-05T11:10:22.832684
2025,September,"Sep. 25, 2025","103,672-8",In re Pers. Restraint of Schoenhals,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1036728MAJ,https://www.courts.wa.gov/opinions/pdf/1036728.pdf,"103,672-8_In re Pers. Restraint of Schoenhals.pdf",Success,2025-12-05T11:10:28.847693
2025,October,"Oct. 09, 2025","103,430-0","Flying T Ranch, Inc. v. Stillaguamish Tribe of Indians","Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1034300MAJ,https://www.courts.wa.gov/opinions/pdf/1034300.pdf,"103,430-0_Flying T Ranch, Inc. v. Stillaguamish Tribe of Ind.pdf",Success,2025-12-05T11:10:34.884562
2025,October,"Oct. 09, 2025","103,031-2","Luv v. W. Coast Servicing, Inc.","Maj., Con., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1030312MAJ,https://www.courts.wa.gov/opinions/pdf/1030312.pdf,"103,031-2_Luv v. W. Coast Servicing, Inc..pdf",Success,2025-12-05T11:10:41.539688
2025,October,"Oct. 30, 2025","103,135-1",Erickson v. Pharmacia LLC,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1031351MAJ,https://www.courts.wa.gov/opinions/pdf/1031351.pdf,"103,135-1_Erickson v. Pharmacia LLC.pdf",Success,2025-12-05T11:10:48.221938
2025,October,"Oct. 30, 2025","103,251-0",State v. Luna,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1032510MAJ,https://www.courts.wa.gov/opinions/pdf/1032510.pdf,"103,251-0_State v. Luna.pdf",Success,2025-12-05T11:10:56.657870
2025,November,"Nov. 06, 2025","103,488-1",Azorit-Wortham v. Dep't of Lab. & Indus.,"Maj., and Con/Dis Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1034881MAJ,https://www.courts.wa.gov/opinions/pdf/1034881.pdf,"103,488-1_Azorit-Wortham v. Dep't of Lab. & Indus..pdf",Success,2025-12-05T11:11:03.525005
2025,November,"Nov. 06, 2025","104,117-9",Eyman v. Hobbs,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1041179MAJ,https://www.courts.wa.gov/opinions/pdf/1041179.pdf,"104,117-9_Eyman v. Hobbs.pdf",Success,2025-12-05T11:11:08.688437
2025,November,"Nov. 13, 2025","102,378-2",State v. Ellis,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1023782MAJ,https://www.courts.wa.gov/opinions/pdf/1023782.pdf,"102,378-2_State v. Ellis.pdf",Success,2025-12-05T11:11:14.529921
2025,December,"Dec. 04, 2025","202,239-1",In re Disciplinary Proceeding Against Flood,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=2022391MAJ,https://www.courts.wa.gov/opinions/pdf/2022391.pdf,"202,239-1_In re Disciplinary Proceeding Against Flood.pdf",Success,2025-12-05T11:11:19.326314
2025,December,"Dec. 04, 2025","104,087-3",In re Recall of Olsen,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1040873MAJ,https://www.courts.wa.gov/opinions/pdf/1040873.pdf,"104,087-3_In re Recall of Olsen.pdf",Success,2025-12-05T11:11:25.688517
2024,January,"Jan. 04, 2024","101,045-1",Barlow v. State,"Maj., Dis., and Con/Dis Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1010451MAJ,https://www.courts.wa.gov/opinions/pdf/1010451.pdf,"101,045-1_Barlow v. State.pdf",Success,2025-12-05T11:11:33.938300
2024,January,"Jan. 11, 2024","101,770-7",Royal Oaks Country Club v. Dep't of Revenue,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1017707MAJ,https://www.courts.wa.gov/opinions/pdf/1017707.pdf,"101,770-7_Royal Oaks Country Club v. Dep't of Revenue.pdf",Success,2025-12-05T11:11:47.301410
2024,January,"Jan. 11, 2024","101,591-7","Velazquez Framing, LLC v. Cascadia Homes, Inc.",Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1015917MAJ,https://www.courts.wa.gov/opinions/pdf/1015917.pdf,"101,591-7_Velazquez Framing, LLC v. Cascadia Homes, Inc..pdf",Success,2025-12-05T11:11:54.399975
2024,January,"Jan. 18, 2024","101,537-2","M.N. v. MultiCare Health Sys., Inc.","Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1015372MAJ,https://www.courts.wa.gov/opinions/pdf/1015372.pdf,"101,537-2_M.N. v. MultiCare Health Sys., Inc..pdf",Success,2025-12-05T11:12:00.292488
2024,January,"Jan. 18, 2024","100,752-3",Pacific Lutheran Univ. v. Certain Underwriters at Lloyd's London,"Maj., and Con/Dis Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1007523MAJ,https://www.courts.wa.gov/opinions/pdf/1007523.pdf,"100,752-3_Pacific Lutheran Univ. v. Certain Underwriters at .pdf",Success,2025-12-05T11:12:06.350987
2024,January,"Jan. 18, 2024","101,124-5",State v. Martinez,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1011245MAJ,https://www.courts.wa.gov/opinions/pdf/1011245.pdf,"101,124-5_State v. Martinez.pdf",Success,2025-12-05T11:12:12.324813
2024,January,"Jan. 25, 2024","101,075-3",King County v. Abernathy,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1010753MAJ,https://www.courts.wa.gov/opinions/pdf/1010753.pdf,"101,075-3_King County v. Abernathy.pdf",Success,2025-12-05T11:12:17.666425
2024,February,"Feb. 15, 2024","101,576-3",Schiff v. Liberty Mut. Fire Ins. Co.,"Maj., and Dis. Opinions and an Order",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1015763MAJ,https://www.courts.wa.gov/opinions/pdf/1015763.pdf,"101,576-3_Schiff v. Liberty Mut. Fire Ins. Co..pdf",Success,2025-12-05T11:12:24.807398
2024,February,"Feb. 29, 2024","101,635-2",In re Pers. Restraint of Arntsen,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1016352MAJ,https://www.courts.wa.gov/opinions/pdf/1016352.pdf,"101,635-2_In re Pers. Restraint of Arntsen.pdf",Success,2025-12-05T11:12:30.487669
2024,March,"Mar. 07, 2024","101,873-8","Assurance Wireless USA, LP v. Dep't of Revenue",Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1018738MAJ,https://www.courts.wa.gov/opinions/pdf/1018738.pdf,"101,873-8_Assurance Wireless USA, LP v. Dep't of Revenue.pdf",Success,2025-12-05T11:12:41.236124
2024,March,"Mar. 07, 2024","101,799-5",M.G. v. Yakima Sch. Dist. No. 7,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1017995MAJ,https://www.courts.wa.gov/opinions/pdf/1017995.pdf,"101,799-5_M.G. v. Yakima Sch. Dist. No. 7.pdf",Success,2025-12-05T11:12:47.289098
2024,March,"Mar. 14, 2024","101,997-1",Assoc. Gen. Contractors of Wash. v. State,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1019971MAJ,https://www.courts.wa.gov/opinions/pdf/1019971.pdf,"101,997-1_Assoc. Gen. Contractors of Wash. v. State.pdf",Success,2025-12-05T11:12:53.817960
2024,March,"Mar. 14, 2024","101,892-4",Gardens Condo. v. Farmers Ins. Exch.,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1018924MAJ,https://www.courts.wa.gov/opinions/pdf/1018924.pdf,"101,892-4_Gardens Condo. v. Farmers Ins. Exch..pdf",Success,2025-12-05T11:12:59.562937
2024,March,"Mar. 14, 2024","101,703-1",State v. Buck,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1017031MAJ,https://www.courts.wa.gov/opinions/pdf/1017031.pdf,"101,703-1_State v. Buck.pdf",Success,2025-12-05T11:13:12.353392
2024,March,"Mar. 28, 2024","101,502-0",State v. Stearns,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1015020MAJ,https://www.courts.wa.gov/opinions/pdf/1015020.pdf,"101,502-0_State v. Stearns.pdf",Success,2025-12-05T11:13:22.922973
2024,April,"Apr. 04, 2024","101,171-7",State v. Keller,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1011717MAJ,https://www.courts.wa.gov/opinions/pdf/1011717.pdf,"101,171-7_State v. Keller.pdf",Success,2025-12-05T11:13:29.230621
2024,April,"Apr. 11, 2024","101,872-0","AURC III, LLC v. Point Ruston Phase II, LLC",Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1018720MAJ,https://www.courts.wa.gov/opinions/pdf/1018720.pdf,"101,872-0_AURC III, LLC v. Point Ruston Phase II, LLC.pdf",Success,2025-12-05T11:13:35.531285
2024,April,"Apr. 11, 2024","101,838-0",Benton County Water Conservancy Bd. v. Dep't of Ecology,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1018380MAJ,https://www.courts.wa.gov/opinions/pdf/1018380.pdf,"101,838-0_Benton County Water Conservancy Bd. v. Dep't of Ec.pdf",Success,2025-12-05T11:13:40.556614
2024,April,"Apr. 11, 2024","101,769-3",Cousins v. Dep't of Corrections,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1017693MAJ,https://www.courts.wa.gov/opinions/pdf/1017693.pdf,"101,769-3_Cousins v. Dep't of Corrections.pdf",Success,2025-12-05T11:13:46.260289
2024,April,"Apr. 11, 2024","101,745-6",Est. of Essex v. Grant County Pub. Hosp. Dist. No. 1,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1017456MAJ,https://www.courts.wa.gov/opinions/pdf/1017456.pdf,"101,745-6_Est. of Essex v. Grant County Pub. Hosp. Dist. No..pdf",Success,2025-12-05T11:13:52.175973
2024,April,"Apr. 18, 2024","101,520-8",Spokane County v. Meneses,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1015208MAJ,https://www.courts.wa.gov/opinions/pdf/1015208.pdf,"101,520-8_Spokane County v. Meneses.pdf",Success,2025-12-05T11:13:59.598847
2024,April,"Apr. 18, 2024","100,953-4",State v. Bertrand,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1009534MAJ,https://www.courts.wa.gov/opinions/pdf/1009534.pdf,"100,953-4_State v. Bertrand.pdf",Success,2025-12-05T11:14:14.164895
2024,May,"May. 09, 2024","102,147-0","Spencer v. Franklin Hills Health-Spokane, LLC","Maj., and Con/Dis Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1021470MAJ,https://www.courts.wa.gov/opinions/pdf/1021470.pdf,"102,147-0_Spencer v. Franklin Hills Health-Spokane, LLC.pdf",Success,2025-12-05T11:14:21.350168
2024,May,"May. 16, 2024",20439-0,State v. Wallahee,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=204390MAJ,https://www.courts.wa.gov/opinions/pdf/204390.pdf,20439-0_State v. Wallahee.pdf,Success,2025-12-05T11:14:28.071807
2024,May,"May. 23, 2024","101,777-4",State v. Carter,"Maj., Con., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1017774MAJ,https://www.courts.wa.gov/opinions/pdf/1017774.pdf,"101,777-4_State v. Carter.pdf",Success,2025-12-05T11:14:39.944936
2024,June,"Jun. 13, 2024","101,828-2",State v. Luthi,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1018282MAJ,https://www.courts.wa.gov/opinions/pdf/1018282.pdf,"101,828-2_State v. Luthi.pdf",Success,2025-12-05T11:14:47.044476
